county,make,model_year,vehicle_count
Pierce,MERCEDES-BENZ,2020,2
Pierce,MINI,2018,37
Pierce,MINI,2019,43
Pierce,MINI,2021,13
Pierce,MINI,2022,4
Pierce,MITSUBISHI,2012,93
Pierce,MITSUBISHI,2014,13
Pierce,MITSUBISHI,2018,72
Pierce,MITSUBISHI,2019,43
Pierce,MITSUBISHI,2020,13
Pierce,MITSUBISHI,2021,2
Pierce,NISSAN,2011,699
Pierce,NISSAN,2012,694
Pierce,NISSAN,2013,2164
Pierce,NISSAN,2014,612
Pierce,NISSAN,2015,1256
Pierce,NISSAN,2016,618
Pierce,NISSAN,2017,322
Pierce,NISSAN,2018,441
Pierce,NISSAN,2019,339
Pierce,NISSAN,2020,94
Pierce,NISSAN,2021,28
Pierce,PORSCHE,2014,8
Pierce,PORSCHE,2015,35
Pierce,PORSCHE,2016,17
Pierce,PORSCHE,2017,16
Pierce,PORSCHE,2018,30
Pierce,PORSCHE,2019,21
Pierce,PORSCHE,2020,11
Pierce,PORSCHE,2021,2
Pierce,SMART,2013,27
Pierce,SMART,2014,47
Pierce,SMART,2015,28
Pierce,SMART,2016,4
Pierce,SMART,2017,10
Pierce,SUBARU,2019,12
Pierce,TESLA,2008,29
Pierce,TESLA,2010,18
Pierce,TESLA,2011,8
Pierce,TESLA,2012,73
Pierce,TESLA,2013,528
Pierce,TESLA,2014,369
Pierce,TESLA,2015,605
Pierce,TESLA,2016,601
Pierce,TESLA,2017,417
Pierce,TESLA,2018,1775
Pierce,TESLA,2019,1094
Pierce,TESLA,2020,1238
Pierce,TESLA,2021,664
Pierce,TOYOTA,2012,367
Pierce,TOYOTA,2013,170
Pierce,TOYOTA,2014,88
Pierce,TOYOTA,2015,37
Pierce,TOYOTA,2017,535
Pierce,TOYOTA,2018,279
Pierce,TOYOTA,2019,28
Pierce,TOYOTA,2020,55
Pierce,TOYOTA,2021,30
Pierce,VOLKSWAGEN,2015,63
Pierce,VOLKSWAGEN,2016,80
Pierce,VOLKSWAGEN,2017,13
Pierce,VOLKSWAGEN,2018,19
Pierce,VOLKSWAGEN,2019,80
Pierce,VOLKSWAGEN,2021,8
Pierce,VOLVO,2016,39
Pierce,VOLVO,2017,40
Pierce,VOLVO,2018,34
Pierce,VOLVO,2019,79
Pierce,VOLVO,2021,10
Pierce,WHEEGO ELECTRIC CARS,2011,7
Snohomish,AUDI,2016,93
Snohomish,AUDI,2017,39
