county,make,quartile,model_year,vehicle_count
Clark,MERCEDES-BENZ,1,2014,3
Clark,MERCEDES-BENZ,1,2015,2
Clark,MERCEDES-BENZ,1,2016,2
Clark,MERCEDES-BENZ,1,2017,2
Clark,MERCEDES-BENZ,1,2018,6
Clark,MERCEDES-BENZ,1,2019,19
Clark,MERCEDES-BENZ,2,2014,8
Clark,MERCEDES-BENZ,2,2015,2
Clark,MERCEDES-BENZ,2,2016,2
Clark,MERCEDES-BENZ,2,2017,1
Clark,MERCEDES-BENZ,2,2018,8
Clark,MERCEDES-BENZ,2,2019,15
Clark,MERCEDES-BENZ,2,2020,1
Clark,MERCEDES-BENZ,3,2014,11
Clark,MERCEDES-BENZ,3,2015,2
Clark,MERCEDES-BENZ,3,2016,6
Clark,MERCEDES-BENZ,3,2017,7
Clark,MERCEDES-BENZ,3,2018,2
Clark,MERCEDES-BENZ,3,2019,11
Clark,MERCEDES-BENZ,3,2020,2
Clark,MERCEDES-BENZ,4,2015,2
Clark,MERCEDES-BENZ,4,2016,3
Clark,MERCEDES-BENZ,4,2018,2
Clark,MERCEDES-BENZ,4,2019,6
Clark,MINI,1,2018,2
Clark,MINI,1,2019,6
Clark,MINI,1,2021,5
Clark,MINI,2,2019,4
Clark,MINI,2,2021,8
Clark,MINI,3,2018,3
Clark,MINI,3,2019,1
Clark,MINI,3,2021,2
Clark,MINI,4,2019,2
Clark,MINI,4,2021,6
Clark,MITSUBISHI,1,2012,23
Clark,MITSUBISHI,1,2018,26
Clark,MITSUBISHI,1,2019,4
Clark,MITSUBISHI,1,2020,2
Clark,MITSUBISHI,2,2012,3
Clark,MITSUBISHI,2,2014,3
Clark,MITSUBISHI,2,2018,17
Clark,MITSUBISHI,2,2020,4
Clark,MITSUBISHI,3,2012,19
Clark,MITSUBISHI,3,2014,11
Clark,MITSUBISHI,3,2018,21
Clark,MITSUBISHI,3,2019,6
Clark,MITSUBISHI,4,2012,8
Clark,MITSUBISHI,4,2017,6
Clark,MITSUBISHI,4,2018,19
Clark,MITSUBISHI,4,2019,15
Clark,MITSUBISHI,4,2020,2
Clark,NISSAN,1,2011,94
Clark,NISSAN,1,2012,201
Clark,NISSAN,1,2013,435
Clark,NISSAN,1,2014,56
Clark,NISSAN,1,2015,237
Clark,NISSAN,1,2016,136
Clark,NISSAN,1,2017,42
Clark,NISSAN,1,2018,58
Clark,NISSAN,1,2019,44
Clark,NISSAN,1,2020,16
Clark,NISSAN,1,2021,8
Clark,NISSAN,2,2011,202
Clark,NISSAN,2,2012,211
Clark,NISSAN,2,2013,469
Clark,NISSAN,2,2014,122
Clark,NISSAN,2,2015,149
Clark,NISSAN,2,2016,85
Clark,NISSAN,2,2017,66
Clark,NISSAN,2,2018,90
Clark,NISSAN,2,2019,36
Clark,NISSAN,2,2020,14
Clark,NISSAN,2,2021,16
Clark,NISSAN,3,2011,163
Clark,NISSAN,3,2012,151
Clark,NISSAN,3,2013,397
Clark,NISSAN,3,2014,96
Clark,NISSAN,3,2015,250
Clark,NISSAN,3,2016,93
Clark,NISSAN,3,2017,76
Clark,NISSAN,3,2018,47
Clark,NISSAN,3,2019,48
Clark,NISSAN,3,2020,8
Clark,NISSAN,4,2011,100
Clark,NISSAN,4,2012,151
Clark,NISSAN,4,2013,391
Clark,NISSAN,4,2014,62
Clark,NISSAN,4,2015,279
Clark,NISSAN,4,2016,138
Clark,NISSAN,4,2017,22
Clark,NISSAN,4,2018,45
Clark,NISSAN,4,2019,34
Clark,NISSAN,4,2020,34
Clark,POLESTAR,1,2021,2
Clark,PORSCHE,1,2014,4
Clark,PORSCHE,1,2016,4
Clark,PORSCHE,1,2017,1
Clark,PORSCHE,1,2018,5
Clark,PORSCHE,1,2019,2
Clark,PORSCHE,1,2020,7
Clark,PORSCHE,2,2014,2
Clark,PORSCHE,2,2015,7
Clark,PORSCHE,2,2017,5
Clark,PORSCHE,2,2018,2
Clark,PORSCHE,2,2020,3
Clark,PORSCHE,2,2021,2
Clark,PORSCHE,3,2015,8
Clark,PORSCHE,3,2016,4
Clark,PORSCHE,3,2017,6
Clark,PORSCHE,3,2018,7
Clark,PORSCHE,3,2019,3
Clark,PORSCHE,3,2020,4
Clark,PORSCHE,4,2015,4
Clark,PORSCHE,4,2016,12
Clark,PORSCHE,4,2017,6
Clark,PORSCHE,4,2018,1
Clark,PORSCHE,4,2019,1
Clark,PORSCHE,4,2020,8
Clark,SMART,1,2013,2
Clark,SMART,1,2014,25
Clark,SMART,1,2015,10
Clark,SMART,1,2017,4
Clark,SMART,2,2013,11
Clark,SMART,2,2014,15
Clark,SMART,2,2015,15
Clark,SMART,2,2016,4
Clark,SMART,2,2018,10
Clark,SMART,3,2013,3
Clark,SMART,3,2014,42
Clark,SMART,3,2015,21
Clark,SMART,3,2016,3
Clark,SMART,3,2017,10
Clark,SMART,3,2018,4
Clark,SMART,4,2013,7
Clark,SMART,4,2014,16
Clark,SMART,4,2015,12
Clark,SMART,4,2016,2
Clark,SMART,4,2017,12
Clark,SUBARU,1,2019,3
Clark,SUBARU,3,2019,3
Clark,TESLA,1,2010,5
Clark,TESLA,1,2012,15
Clark,TESLA,1,2013,93
Clark,TESLA,1,2014,73
Clark,TESLA,1,2015,125
Clark,TESLA,1,2016,171
Clark,TESLA,1,2017,134
Clark,TESLA,1,2018,392
Clark,TESLA,1,2019,128
Clark,TESLA,1,2020,248
Clark,TESLA,1,2021,246
Clark,TESLA,2,2010,1
Clark,TESLA,2,2012,6
Clark,TESLA,2,2013,92
Clark,TESLA,2,2014,67
Clark,TESLA,2,2015,181
Clark,TESLA,2,2016,115
Clark,TESLA,2,2017,111
Clark,TESLA,2,2018,273
Clark,TESLA,2,2019,311
Clark,TESLA,2,2020,94
Clark,TESLA,2,2021,189
Clark,TESLA,3,2010,8
Clark,TESLA,3,2012,10
Clark,TESLA,3,2013,104
Clark,TESLA,3,2014,69
Clark,TESLA,3,2015,63
Clark,TESLA,3,2016,113
